date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:55:19	295/295	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Jul%202018%2013:55:20%20GMT	http://themes.cmsmasters.net/robots.txt		(from )
20:55:19	48808/48808	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jul%202018%2013:55:20%20GMT	http://themes.cmsmasters.net/?theme=food-market	C:/My%20Web%20Sites/gd/themes.cmsmasters.net/indexc61f.html	(from )
20:55:20	6124/6124	---M-Z	200	added ('OK')	text/css	etag:%2217ec-5418f80c3d600-gzip%22	http://themes.cmsmasters.net/css/style.css	C:/My%20Web%20Sites/gd/themes.cmsmasters.net/css/style.css	(from http://themes.cmsmasters.net/?theme=food-market)
20:55:21	7199/7199	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a48-1c1f%22	http://code.jquery.com/jquery-migrate-1.2.1.min.js	C:/My%20Web%20Sites/gd/code.jquery.com/jquery-migrate-1.2.1.min.js	(from http://themes.cmsmasters.net/?theme=food-market)
20:55:21	3543/3543	---M--	200	added ('OK')	image/png	etag:%22dd7-4fc1d6388bf40%22	http://themes.cmsmasters.net/images/logo.png	C:/My%20Web%20Sites/gd/themes.cmsmasters.net/images/logo.png	(from http://themes.cmsmasters.net/?theme=food-market)
20:55:21	1542/1542	---M--	200	added ('OK')	image/png	etag:%22606-4fc1d6388bf40%22	http://themes.cmsmasters.net/images/logo_text.png	C:/My%20Web%20Sites/gd/themes.cmsmasters.net/images/logo_text.png	(from http://themes.cmsmasters.net/?theme=food-market)
20:55:22	95957/95957	---M-Z	200	added ('OK')	application/javascript	etag:W/%22553fb36a-176d5%22	http://code.jquery.com/jquery-1.11.3.min.js	C:/My%20Web%20Sites/gd/code.jquery.com/jquery-1.11.3.min.js	(from http://themes.cmsmasters.net/?theme=food-market)
20:55:22	126658/126658	---M--	200	added ('OK')	image/jpeg	etag:%222e7641a11f18c21da59a5008d1b30588%22	https://s3.envato.com/files/245691661/01-blogosphere_preview_discount.__large_preview.jpg	C:/My%20Web%20Sites/gd/s3.envato.com/files/245691661/01-blogosphere_preview_discount.__large_preview.jpg	(from http://themes.cmsmasters.net/?theme=food-market)
20:55:22	231171/231171	---M--	200	added ('OK')	image/png	etag:%22a3bde4e114ff62269cb955d48a17e353%22	https://s3.envato.com/files/245033628/01_bambini-preview.__large_preview.png	C:/My%20Web%20Sites/gd/s3.envato.com/files/245033628/01_bambini-preview.__large_preview.png	(from http://themes.cmsmasters.net/?theme=food-market)
20:55:23	29576/29576	---M--	200	added ('OK')	image/jpeg	etag:%2202734d23231fac49777662cc3e5135ae%22	https://s3.envato.com/files/243570794/01_solfeggio-preview.__large_preview.jpg	C:/My%20Web%20Sites/gd/s3.envato.com/files/243570794/01_solfeggio-preview.__large_preview.jpg	(from http://themes.cmsmasters.net/?theme=food-market)
